running hybrid ljmd with 32 processes 1 threads
Running with OpenMPI using 32 process
Running with OpenMP using 1 threads
LJMD version 1.500
Startup time: 0.0312268734s
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574057        -155.66814504        -137.21240447
    2200          60.48709291          19.29215718        -156.59447068        -137.30231349
    2300          53.81193893          17.16313902        -154.43944722        -137.27630821
    2400          59.52572194          18.98553111        -156.33952786        -137.35399675
    2500          58.92686581          18.79452794        -156.03041539        -137.23588745
    2600          61.65941058          19.66606401        -156.94491184        -137.27884783
    2700          58.81987814          18.76040458        -156.07031129        -137.30990671
    2800          53.15475444          16.95353221        -154.26693033        -137.31339812
    2900          54.95193287          17.52673629        -154.82877243        -137.30203614
    3000          55.99963545          17.86089755        -155.23428947        -137.37339192
    3100          56.97369925          18.17157196        -155.46229969        -137.29072773
    3200          54.82661006          17.48676500        -154.82426012        -137.33749512
    3300          58.17829294          18.55577311        -155.99088416        -137.43511105
    3400          57.28761605          18.27169468        -155.64132314        -137.36962846
    3500          55.43528659          17.68090035        -155.09613941        -137.41523905
    3600          55.08689256          17.56978124        -155.00142419        -137.43164295
    3700          56.84772910          18.13139420        -155.56340405        -137.43200985
    3800          51.62382879          16.46524856        -153.98190013        -137.51665156
